Projector 1: (240.9, 33.1, 161.4), Projector 2: (819.33, 47.6, 326.3), Locations: Monument Valley, Type: h
Projector 1: (186.6, 60.0, 390.7), Projector 2: (128.0, 54.9, 479.5), Locations: Canmore, Type: h
Projector 1: (909.0, 28.4, 919.4), Projector 2: (964.0, 29.6, 590.0), Locations: Canmore, Type: s
Projector 1: (391.1, 89.9, 718.3), Projector 2: (627.4, 97.6, 802.1), Locations: Mount Wutai, Type: h
Projector 1: (454.3, 56.2, 534.5), Projector 2: (813.2, 58.1, 644.9), Locations: Mount Wutai, Type: s
Projector 1: (517.4, 36.6, 222.0), Projector 2: (624.1, 32.7, 313.6), Locations: Mount Waialeale, Type: h
Projector 1: (852.8, 43.7, 548.0), Projector 2: (964.0, 21.7, 342.1), Locations: Mount Waialeale, Type: s
Projector 1: (777.8, 90.1, 216.8), Projector 2: (945.9, 83.6, 424.2), Locations: Grand Canyon, Type: h
Projector 1: (855.8, 81.0, 712.9), Projector 2: (961.1, 83.6, 964.0), Locations: Grand Canyon, Type: s
Projector 1: (494.2, 55.8, 753.3), Projector 2: (364.4, 64.3, 627.6), Locations: Canmore, Type: h
Projector 1: (348.1, 58.9, 517.9), Projector 2: (128.0, 24.8, 611.5), Locations: Canmore, Type: s
Projector 1: (392.2, 91.5, 315.1), Projector 2: (471.5, 86.0, 250.5), Locations: Mount Wutai, Type: h
Projector 1: (901.9, 61.4, 312.5), Projector 2: (659.7, 62.7, 320.9), Locations: Mount Wutai, Type: s
Projector 1: (638.2, 30.6, 630.2), Projector 2: (779.3, 34.6, 549.4), Locations: Mount Waialeale, Type: h
Projector 1: (688.9, 22.5, 767.3), Projector 2: (753.4, 20.0, 953.9), Locations: Mount Waialeale, Type: s
Projector 1: (649.0, 71.9, 678.1), Projector 2: (750.8, 61.6, 720.0), Locations: Grand Canyon, Type: h
Projector 1: (760.3, 65.5, 716.0), Projector 2: (964.0, 83.6, 964.0), Locations: Grand Canyon, Type: s
Projector 1: (392.7, 50.1, 737.4), Projector 2: (467.4, 53.9, 964.0), Locations: Canmore, Type: h
